N_splines,chart,size,pc2_var,pc3_var,convex_gap_median,convex_gap_p90,convex_gap_bad_frac,hull_area
12,0,219,0.63580759642847,0.784453773515143,0.8307877940537209,1.6599981108331086,0.0,0.5012374515829157
12,1,251,0.5396830670879402,0.7330838029966811,0.8921046755576438,1.9006819190467183,0.015,0.5314775196693996
12,2,232,0.6686163867013684,0.8272547824616836,0.8171938047877406,1.50621733338132,0.0033333333333333335,0.5100795690414162
12,3,279,0.618696223559162,0.7803225932177128,0.8303187958594573,1.50756015352488,0.0016666666666666668,0.5942040715698179
12,4,154,0.7543120210151548,0.8816600815379906,0.8339775422105126,1.877164149811641,0.013333333333333334,1.0892938031840387
12,5,174,0.5763968907987687,0.7966939081546678,0.8048796199945288,1.4983847242705766,0.0016666666666666668,0.5091450889386695
12,6,228,0.590250059170238,0.7861603203088887,0.8465549590190844,1.7131406720501576,0.0033333333333333335,0.6011991396663573
12,7,203,0.7491165101296978,0.8644383378628543,0.8290319767973489,1.5982146479826456,0.005,0.6039661889984507
12,8,202,0.5824986575020746,0.7697584066186218,0.8242614684160283,1.7207007316537895,0.0016666666666666668,0.6363381976555695
12,9,265,0.6275154169340434,0.7839231021510347,1.0709929140960615,2.14707797017471,0.02666666666666667,0.4797561179138919
12,10,200,0.6039290608594747,0.7828818273673293,0.8390436563247954,1.7401510283571104,0.005,0.44792286358965006
12,11,181,0.5587426484135212,0.7530530217450819,0.8045879229198791,1.5810751602493671,0.0016666666666666668,0.4421049144766149
16,0,140,0.7477611272503435,0.8735946108442136,0.9850686812277436,2.069661589315034,0.035,0.9925143641222218
16,1,177,0.5224038856421349,0.7143168527476236,0.8970810693888243,1.8044200048167058,0.0,0.2848049899901214
16,2,177,0.732818298751626,0.8624657625617067,0.9418101624086113,1.883825815024357,0.006666666666666667,0.464266526772817
16,3,119,0.6630589801013681,0.8042956087775848,0.9070846378984114,1.7308453896284683,0.0033333333333333335,0.4794756053921752
16,4,163,0.5610804761421602,0.7708202524656116,0.8865986162514332,1.6017192028339384,0.006666666666666667,0.47980816068576515
16,5,161,0.5704720815896305,0.7610237351016894,0.9069238225180504,1.831602037782005,0.0,0.38183817387190216
16,6,181,0.564699208939143,0.7462753902925285,0.9407884549016485,1.9180543931533525,0.008333333333333333,0.5148813142304465
16,7,118,0.5761069333251334,0.7930067743891157,0.9374654073853685,2.1098134477265367,0.016666666666666666,0.3084679795539696
16,8,176,0.5768710802718058,0.7755404208161047,0.8842642165321104,1.880451808624914,0.0033333333333333335,0.3698339541530866
16,9,185,0.5604266388295716,0.7277961448189595,0.7950460488458012,1.5780939558307787,0.013333333333333334,0.385994035849931
16,10,180,0.584019705951714,0.7769763444835548,0.9426839749802196,1.9894406596779945,0.011666666666666667,0.36481654134814606
16,11,198,0.6255257520640073,0.8134996439693418,0.8485937795395768,1.5672688115550595,0.0,0.36587568166687257
16,12,121,0.5657967819667596,0.7746084762360413,0.8346011098731033,1.6116634948113238,0.0033333333333333335,0.41706414680204584
16,13,168,0.6158937862867584,0.7949376981590497,0.7484792112358563,1.5370709335893185,0.0,0.4441655648027872
16,14,177,0.5799977664572574,0.7653477914314294,0.9605953474978663,1.8886583525043215,0.01,0.4127213472192124
16,15,147,0.5948025521780749,0.7579769413726984,0.7858372737909978,1.4045795055476205,0.0,0.34490455503585266
24,0,96,0.639520435936952,0.8166811354975183,0.7589389727598286,1.623135996607697,0.0033333333333333335,0.19942312354680922
24,1,137,0.5559892205020021,0.7569538077744093,0.8124389344738283,1.5536992211663874,0.0016666666666666668,0.28691508236617913
24,2,113,0.5970875911909769,0.7732652458255658,0.8255537219040949,1.8882199264322266,0.006666666666666667,0.2784321533102559
24,3,141,0.5343455618904313,0.7483948719714884,0.9598218213688238,2.380541172854637,0.03833333333333333,0.3606311917740645
24,4,97,0.5698411440794342,0.7612938358917308,0.825202400355503,1.487384681403953,0.0033333333333333335,0.35287757277400306
24,5,143,0.5393646412645117,0.7458260054365137,0.7676485680382028,1.646936787906199,0.0016666666666666668,0.3116458539114323
